"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","desgosto"
2.16,0,2.25,0,0,0,0,0,0,0,0,0,0.39,0,0.34,0,FALSE
2.65,0,2.44,0,0,-0.11,0,-1.57,0,-0.01,0,-0.28,0.17,0,0.17,0,FALSE
0,0,0,0,-0.28,0,0.07,-2.37,0,0,0,0.04,0.07,0,0.24,-0.17,FALSE
0.79,-0.23,2.24,0,0.18,-0.24,0.19,-1.97,0.12,0,0.1,-0.01,0.39,0,0.39,0,FALSE
0,0.09,1.76,0,0,0,0,-3.08,0.11,0,0.18,-0.33,0,0,0,-0.74,FALSE
0.14,0.15,1.68,0,-0.08,0,0,-4.47,0.14,0,0.17,-0.05,0.22,0,0,-0.51,FALSE
2.26,0,0.4,0,0.16,0,0.13,-2.35,0,0.09,0,-0.2,0.43,0,0.28,0.15,FALSE
0,0,0.21,0,0,0,0,-1.83,0,0,0,-0.02,0.06,0,0.01,0,TRUE
3.06,0,2.83,0,0,0,0,-4.62,0,0,0,-0.88,0.41,0,0.41,0,TRUE
1.26,0,0.73,0,0,0,0,0,0,0,0,0.15,0.53,0,0.53,0,FALSE
0.13,0.08,0.1,0,0,0,0,0,0,0,0,0,0.01,-0.13,0.01,0,FALSE
0.19,0,0.16,0,0.18,0,0.06,-1.91,0,-0.08,0.12,-0.69,0.07,0,0.07,0,FALSE
1.66,0,1.74,0,0,0,0,-1.63,0,0,0,0,0.29,0,0.29,0,TRUE
0,-0.34,1.31,0,0,-0.22,0,-3.53,0,0,0,-0.31,0,-0.18,0,-0.18,TRUE
1.92,0.07,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0.36,0,0.29,0,0,-0.04,0.02,-1.75,0,0,0,-0.11,0.02,-0.09,-0.09,-0.09,FALSE
0,0.03,3.08,0,0,0,0,-0.3,0,0,0,0,0,0,0,-0.22,FALSE
0.89,0,0.84,0,0,0,0,-1.49,0,0,0,-0.11,0.1,0,0.1,0,FALSE
1.93,0,0.2,0,0,0,0,-1.35,0,0,0,-0.06,0.14,0,0.14,0,FALSE
0,0.04,3.15,0,0,0,0,-1.58,0,0,0,-0.3,0.1,0,0.1,0,TRUE
2.66,0,2.82,0,0,0,0,0,0,0,0,0,0.09,0,0.09,0,TRUE
0.32,0,0.66,0,0.03,0,0.03,0,0,0,0,0,0.03,0,0.06,0,TRUE
1.78,0,1.9,0,0,0,0,-2.45,0,0,0,-0.45,0,0,0,0,TRUE
0.3,0,0.52,0,-0.07,0,0,0,0.09,0,0.17,0,0.16,0,0.16,0,FALSE
0,-0.09,0,0,0,0,0,-1.45,0.25,-0.1,0.11,-0.2,0,0,0,0,TRUE
0.24,-0.02,2.19,0,0,0,0,-1.91,0,-0.1,0.15,-0.35,0,0,0,0,TRUE
3.86,0,2.19,0,0,0,0,0,0.28,0,0.26,0,0.02,0,0.02,0,TRUE
0.26,0,0.23,0,0.23,0,0.07,-0.64,0,0,0,0,0.39,0,0.17,0.22,FALSE
0,0.37,1.55,0,0,0,0,0,0,-0.03,0,-0.15,0.17,0,0.17,0,TRUE
0.61,0,0.58,0,0,-0.24,0,-0.44,0,0,0,0,0.11,0,0.11,0,FALSE
1.67,0,1.67,0,0,0,0,-3.32,0,0,0,-0.36,0.1,0,0.1,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
0,0.43,3.12,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0,FALSE
0.42,0,0.43,0,0,-0.23,0,-0.37,0,0,0,0,0.06,-0.14,0.06,-0.14,FALSE
1.78,0.3,3.29,0,0.03,-0.14,0.28,-0.27,0,0,0,0,0.06,-0.12,-0.02,-0.12,TRUE
1.58,0,1.5,0,0,0,0,-1.56,0,0,0,0.23,0,0,0,0,FALSE
2.52,-0.02,5.85,0,0.15,0,0.02,0,0.29,0,0.4,0,0.11,0,0.11,0,TRUE
0.27,-0.22,1.44,0,0.13,0,0.16,-1.63,0,0,0,-0.3,0.19,0,0.19,0,TRUE
3.56,0.02,1.82,0,0,-0.54,-0.3,-1.45,0.17,0,0.21,-0.2,0,-0.45,-0.45,0,FALSE
0,0.02,1.29,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,TRUE
0.2,0,0,0,0,0,0,0,0.15,0,0,0.13,0.02,0,0,0,FALSE
2.41,0,2.34,0,0,0,0,-1.89,0,0,0,-0.06,0.48,0,0.48,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
2.06,0.13,5.43,0,0,0,0,-1.3,0,0,0,0.32,0.02,0,0.02,0,FALSE
0.11,0.12,2.26,0,0,-0.59,0,-0.8,0.1,0,0.16,0,0,-0.2,-0.31,0,FALSE
0.26,0,0.26,0,0.34,0,0.23,-1.45,0,0,0,-0.2,0.16,0,0.11,0,FALSE
0,-0.09,0.22,0,0,0,0,0,0,-0.1,0,0,0,0,0,-0.06,FALSE
0.89,0,0.84,0,0.08,0,0.13,-0.2,0,0,0,0,0.13,0,0.17,-0.04,FALSE
2.34,0,4.1,0,0.01,-0.06,0,0,0,0.11,0,0,0.24,0,0.27,0,FALSE
0,-0.03,1.58,0,0,-0.19,0,-0.25,0,-0.06,0,-0.12,0,0,0,0,FALSE
0.59,0,0.75,0,0,0,0,0,0.1,0,0.21,0,0.15,0,0.15,0,FALSE
0,0,0.11,0,0,-0.43,0,-0.58,0,-0.08,0.13,-0.23,0,0,-0.08,0,TRUE
0,0.11,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,0.01,1.22,0,0.01,0,0,0,0,0,0,0,-0.03,0,0,0,TRUE
2.05,0,2,0,0.26,0,0.32,0,0,0,0,0,0.45,0,0.45,0,FALSE
0.3,0,0.57,0,0,0,0,-1.91,0,-0.03,0,-0.87,0.09,0,0.09,0,FALSE
1.69,0,1.59,0,0.37,0,0.18,-0.27,0.09,-0.03,0,-0.15,0.28,0,0.39,-0.23,FALSE
0.46,-0.5,1.73,0,0,0,0,-0.11,0.15,0,0.25,0,0.04,0,0.04,-0.06,FALSE
0,0,0,0,0,0,0,-1.64,0,0,0,-0.42,0,0,0,0,FALSE
0.4,-0.09,0.2,0,0.1,0,0,0,0,-0.1,0,-0.19,0.12,0,0.08,0,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0.03,0,-0.06,0,0,0,0,0.15,-0.1,0,-0.1,-0.07,FALSE
1.78,-0.24,3.31,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0,FALSE
0,0,0,0,0.1,0,0.17,0,0,0,0,0,0.05,0,0.05,0,FALSE
0,0.65,2.89,0,-0.09,0,-0.02,0,0,-0.03,0,-0.15,-0.1,0,-0.1,0,FALSE
0,-0.14,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
